Model,TechNode,BatchSize,Subarray,MemCell,Dataflow,Layer,Latency,Energy,Mem_Reads,Mem_Writes,L1_Accesses,L2_Accesses,DRAM_Accesses,PE_to_PE,GB_to_PE,DRAM_to_GB
resnet18,22,64,256,2,WS,QConv2d_128897453249056,1e-06,1e-06,12881920,12845056,6440960,4293973,1288192,3211264,6422528,2140842
resnet18,22,64,256,2,WS,QConv2d_128897453248048,2e-06,1e-06,12918784,6422528,6459392,4306261,1291878,1605632,3211264,1070421
resnet18,22,64,256,2,WS,QConv2d_128897453248000,1e-06,1e-06,6569984,6422528,3284992,2189994,656998,1605632,3211264,1070421
resnet18,22,64,256,2,WS,QConv2d_128897453248816,2e-06,1e-06,12853248,6422528,6426624,4284416,1285324,1605632,3211264,1070421
resnet18,22,64,256,2,WS,QConv2d_128897453247664,1e-06,1e-06,6569984,6422528,3284992,2189994,656998,1605632,3211264,1070421
resnet18,22,64,256,2,WS,QConv2d_128897453250688,1e-06,1e-06,6569984,6422528,3284992,2189994,656998,1605632,3211264,1070421
resnet18,22,64,256,2,WS,QConv2d_128897453251168,1e-06,1e-06,6717440,3211264,3358720,2239146,671744,802816,1605632,535210
resnet18,22,64,256,2,WS,QConv2d_128897453251312,1e-06,1e-06,3801088,3211264,1900544,1267029,380108,802816,1605632,535210
resnet18,22,64,256,2,WS,QConv2d_128897453250784,1e-06,0.0,6455296,3211264,3227648,2151765,645529,802816,1605632,535210
resnet18,22,64,256,2,WS,QConv2d_128897453251504,1e-06,1e-06,3801088,3211264,1900544,1267029,380108,802816,1605632,535210
resnet18,22,64,256,2,WS,QConv2d_128897453251648,2e-06,1e-06,3801088,3211264,1900544,1267029,380108,802816,1605632,535210
resnet18,22,64,256,2,WS,QConv2d_128897453252128,1e-06,1e-06,4390912,1605632,2195456,1463637,439091,401408,802816,267605
resnet18,22,64,256,2,WS,QConv2d_128897453252272,1e-06,0.0,3964928,1605632,1982464,1321642,396492,401408,802816,267605
resnet18,22,64,256,2,WS,QConv2d_128897453251744,1e-06,1e-06,3342336,1605632,1671168,1114112,334233,401408,802816,267605
resnet18,22,64,256,2,WS,QConv2d_128897453252464,1e-06,1e-06,3964928,1605632,1982464,1321642,396492,401408,802816,267605
resnet18,22,64,256,2,WS,QConv2d_128897453252608,1e-06,0.0,3964928,1605632,1982464,1321642,396492,401408,802816,267605
resnet18,22,64,256,2,WS,QLinear_128897453252848,1e-06,0.0,544768,64000,272384,181589,54476,16000,32000,10666
resnet18,22,64,256,2,OS,QConv2d_131055694272544,5e-06,2e-06,9643200,51380224,4821600,3214400,964320,12845056,25690112,8563370
resnet18,22,64,256,2,OS,QConv2d_131055694272880,2e-06,1e-06,12881920,12845056,6440960,4293973,1288192,3211264,6422528,2140842
